word,count
charles,1.0
mnh,37.0
dienstmarken,1.0
welfare,1.0
fawcett,1.0
paul,1.0
birds,5.0
allgemeine,1.0
zona,8.0
la,2.0
mocambique,4.0
ships,2.0
museu,2.0
internacional,1.0
cezanne,2.0
correspondence,1.0
do,1.0
centenary,1.0
maritimo,2.0
di,1.0
weyprecht,1.0
de,3.0
amg,8.0
famous,3.0
picasso,2.0
denmark,2.0
segnatasse,3.0
reich,2.0
tribes,1.0
upu,3.0
olympic,2.0
set,4.0
art,2.0
people,3.0
puffin,2.0
national,1.0
bach,1.0
see,1.0
deutsches,2.0
greece,1.0
ftt,7.0
space,1.0
nuovo,8.0
lotto,2.0
ausg,1.0
indian,1.0
full,2.0
europa,1.0
sbz,1.0
booklet,6.0
arbeiter,1.0
galileo,1.0
marine,1.0
marilyn,1.0
galilei,1.0
shores,1.0
pairs,1.0
of,3.0
finland,1.0
principe,7.0
games,2.0
baltic,1.0
block,3.0
first,1.0
childrens,1.0
marginal,2.0
cetaceos,1.0
mushrooms,1.0
austria,6.0
pablo,1.0
headdresses,1.0
old,1.0
better,1.0
sheet,2.0
portugal,6.0
stamp,6.0
orquideas,1.0
tributo,1.0
quartina,2.0
lot,1.0
israel,1.0
parliament,1.0
complete,1.0
fund,2.0
child,1.0
aviation,1.0
plants,1.0
states,1.0
flora,1.0
animals,3.0
farrah,1.0
cat,11.0
valore,2.0
historia,2.0
valori,4.0
fauna,1.0
poland,1.0
lundy,2.0
estonia,1.0
ano,1.0
al,1.0
high,1.0
at,1.0
in,4.0
karl,1.0
linz,1.0
swedish,1.0
campidoglio,1.0
united,1.0
granet,2.0
astronomia,1.0
trieste,8.0
monroe,1.0
und,2.0
ludwig,1.0
adam,1.0
polar,1.0
theatre,1.0
unused,1.0
germany,9.0
independencia,3.0
the,1.0
dolphins,1.0
a,9.0
e,7.0
serie,4.0
transporte,2.0
life,1.0
relief,1.0
lindbergh,1.0
