word,count
nadal,1.0
mnh,37.0
scott,1.0
aviacao,2.0
corpo,2.0
fine,2.0
occupation,1.0
mocambique,3.0
nippon,6.0
winners,2.0
those,1.0
vaticano,3.0
kasparov,1.0
di,1.0
beau,1.0
da,2.0
foglietto,1.0
famous,1.0
cote,1.0
cv,2.0
overprint,1.0
new,8.0
michael,1.0
segnatasse,1.0
persia,2.0
london,2.0
italian,1.0
olympic,4.0
set,5.0
people,1.0
guerra,1.0
comores,12.0
righe,1.0
signed,1.0
year,11.0
sueltos,1.0
pictorials,1.0
sport,7.0
nuovo,3.0
lotto,1.0
superb,1.0
stamps,1.0
olympics,1.0
bruno,1.0
formula,1.0
issue,2.0
full,5.0
europa,1.0
bl,6.0
booklet,1.0
arts,1.0
inscribed,1.0
les,1.0
china,8.0
shaquille,1.0
thailand,2.0
kr,1.0
rugby,1.0
of,6.0
base,3.0
games,3.0
schumacher,1.0
lasker,1.0
south,1.0
kleinbogen,2.0
egypt,1.0
xiangqi,1.0
others,1.0
africa,1.0
ussr,4.0
table,1.0
sports,1.0
martiaux,1.0
agassi,1.0
basketball,2.0
sheet,5.0
legends,2.0
union,12.0
west,1.0
tennis,2.0
soccorso,1.0
cent,3.0
france,1.0
kramnik,1.0
stars,5.0
calgary,1.0
kop,4.0
bolivia,2.0
sellos,1.0
completa,1.0
complete,3.0
serie,2.0
verde,1.0
jordan,1.0
olive,1.0
aviation,2.0
inverted,1.0
champions,2.0
napoleon,1.0
kind,1.0
mlh,1.0
des,12.0
value,1.0
defin,1.0
del,3.0
valore,1.0
valori,1.0
zodiac,8.0
atlantica,3.0
russia,4.0
bet,1.0
are,1.0
vf,2.0
violetto,1.0
rooster,8.0
su,1.0
in,2.0
pong,1.0
inc,1.0
italy,1.0
bonaparte,1.0
divided,2.0
ping,1.0
bermuda,3.0
chess,2.0
pekin,2.0
federer,1.0
nuevos,1.0
catalog,1.0
regular,2.0
fm,1.0
e,1.0
historia,2.0
chinois,1.0
polacco,2.0
fighting,1.0
itaca,1.0
green,1.0
fresh,1.0
sg,1.0
sassone,5.0
michel,2.0
